angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.02,"[819, 186, 292, 378]",0.0,0.03,0.0,0.75,0.19,0.0
0.02,"[819, 186, 292, 378]",0.0,0.03,0.0,0.75,0.2,0.0
0.02,"[819, 185, 293, 379]",0.0,0.03,0.0,0.77,0.18,0.0
0.08,"[824, 203, 290, 361]",0.0,0.13,0.0,0.51,0.27,0.01
0.08,"[824, 202, 290, 363]",0.0,0.13,0.0,0.51,0.27,0.01
0.04,"[818, 183, 296, 380]",0.0,0.06,0.0,0.48,0.4,0.02
0.04,"[818, 183, 296, 380]",0.0,0.07,0.0,0.48,0.4,0.02
0.04,"[818, 183, 296, 380]",0.0,0.07,0.0,0.48,0.4,0.02
0.11,"[834, 212, 277, 348]",0.0,0.12,0.0,0.35,0.42,0.01
0.11,"[833, 212, 278, 348]",0.0,0.14,0.0,0.35,0.4,0.01
0.08,"[819, 187, 294, 375]",0.0,0.12,0.0,0.28,0.44,0.07
0.08,"[819, 187, 294, 375]",0.0,0.12,0.0,0.28,0.45,0.07
0.08,"[819, 187, 294, 375]",0.0,0.12,0.0,0.28,0.45,0.07
0.1,"[819, 185, 295, 377]",0.0,0.1,0.0,0.29,0.43,0.08
0.09,"[819, 186, 295, 376]",0.0,0.11,0.0,0.27,0.44,0.09
0.09,"[819, 186, 295, 375]",0.0,0.12,0.0,0.29,0.41,0.09
0.09,"[819, 186, 295, 375]",0.0,0.12,0.0,0.3,0.4,0.09
0.09,"[819, 186, 295, 375]",0.0,0.12,0.0,0.3,0.4,0.09
0.12,"[819, 185, 295, 375]",0.0,0.1,0.0,0.28,0.44,0.06
0.12,"[819, 185, 295, 375]",0.0,0.1,0.0,0.28,0.44,0.05
0.16,"[819, 185, 295, 373]",0.0,0.09,0.0,0.29,0.4,0.06
0.16,"[819, 185, 295, 374]",0.0,0.1,0.0,0.27,0.42,0.06
0.16,"[819, 185, 295, 374]",0.0,0.1,0.0,0.27,0.42,0.06
0.16,"[819, 184, 296, 374]",0.0,0.09,0.0,0.29,0.4,0.05
0.16,"[819, 184, 296, 374]",0.0,0.09,0.0,0.29,0.4,0.05
0.13,"[820, 184, 296, 374]",0.0,0.1,0.0,0.33,0.4,0.04
0.13,"[820, 184, 296, 375]",0.0,0.11,0.0,0.34,0.37,0.06
0.13,"[820, 184, 296, 375]",0.0,0.11,0.0,0.34,0.37,0.06
0.15,"[820, 184, 296, 375]",0.0,0.09,0.0,0.37,0.35,0.05
0.14,"[820, 184, 296, 375]",0.0,0.09,0.0,0.37,0.35,0.05
0.16,"[821, 185, 294, 373]",0.0,0.09,0.0,0.33,0.38,0.04
0.16,"[821, 185, 294, 373]",0.0,0.09,0.0,0.33,0.38,0.04
0.11,"[820, 185, 296, 376]",0.0,0.1,0.0,0.35,0.37,0.07
0.11,"[820, 186, 295, 374]",0.0,0.11,0.0,0.36,0.35,0.07
0.11,"[820, 186, 295, 374]",0.0,0.11,0.0,0.36,0.35,0.07
0.1,"[821, 186, 295, 375]",0.0,0.14,0.0,0.31,0.35,0.1
0.1,"[820, 186, 296, 376]",0.0,0.13,0.0,0.35,0.33,0.1
0.1,"[820, 186, 296, 375]",0.0,0.14,0.0,0.32,0.35,0.09
0.1,"[821, 187, 294, 374]",0.0,0.16,0.0,0.34,0.31,0.1
0.09,"[821, 187, 294, 374]",0.0,0.16,0.0,0.34,0.31,0.1
0.09,"[821, 187, 295, 374]",0.0,0.14,0.0,0.37,0.35,0.05
0.09,"[821, 187, 295, 374]",0.0,0.13,0.0,0.38,0.36,0.05
0.09,"[821, 187, 295, 374]",0.0,0.13,0.0,0.38,0.35,0.05
0.1,"[821, 187, 294, 372]",0.0,0.17,0.0,0.26,0.42,0.05
0.08,"[821, 187, 294, 373]",0.0,0.15,0.0,0.32,0.4,0.05
0.08,"[844, 201, 278, 348]",0.0,0.09,0.0,0.52,0.29,0.02
0.08,"[844, 201, 277, 348]",0.0,0.09,0.0,0.51,0.29,0.02
0.09,"[844, 201, 277, 348]",0.0,0.09,0.0,0.51,0.29,0.02
0.09,"[844, 200, 278, 349]",0.0,0.09,0.0,0.45,0.34,0.02
0.14,"[820, 186, 295, 373]",0.0,0.16,0.0,0.21,0.44,0.05
0.1,"[844, 200, 278, 349]",0.0,0.11,0.0,0.43,0.33,0.02
0.16,"[821, 186, 294, 372]",0.0,0.17,0.0,0.17,0.45,0.05
0.16,"[821, 186, 294, 372]",0.0,0.17,0.0,0.17,0.45,0.05
0.12,"[821, 186, 293, 373]",0.0,0.17,0.0,0.2,0.46,0.04
0.13,"[821, 186, 293, 373]",0.0,0.17,0.0,0.19,0.46,0.04
0.14,"[820, 186, 294, 373]",0.0,0.19,0.0,0.17,0.43,0.06
0.17,"[821, 186, 293, 372]",0.0,0.17,0.0,0.16,0.46,0.04
